----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                             $                                                 (                                                 )                                                 ;                                                 addop                                             float                                             id                                                if                                                int                                               mulop                                             num                                               relop                                             while                                             }                                                 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ASSIGNMENT          |SYNC                                              |                                                  |                                                  |                                                  |                                                  |SYNC                                              |id assign EXPRESSION ;                            |SYNC                                              |SYNC                                              |                                                  |                                                  |                                                  |SYNC                                              |SYNC                                              |
DECLARATION         |SYNC                                              |                                                  |                                                  |                                                  |                                                  |PRIMITIVE_TYPE id ;                               |SYNC                                              |SYNC                                              |PRIMITIVE_TYPE id ;                               |                                                  |                                                  |                                                  |SYNC                                              |SYNC                                              |
EXPRESSION          |                                                  |SIMPLE_EXPRESSION EXPRESSION0                     |SYNC                                              |SYNC                                              |SIMPLE_EXPRESSION EXPRESSION0                     |                                                  |SIMPLE_EXPRESSION EXPRESSION0                     |                                                  |                                                  |                                                  |SIMPLE_EXPRESSION EXPRESSION0                     |                                                  |                                                  |                                                  |
EXPRESSION0         |                                                  |                                                  |\L                                                |\L                                                |                                                  |                                                  |                                                  |                                                  |                                                  |                                                  |                                                  |relop SIMPLE_EXPRESSION                           |                                                  |                                                  |
FACTOR              |                                                  |( EXPRESSION )                                    |SYNC                                              |SYNC                                              |SYNC                                              |                                                  |id                                                |                                                  |                                                  |SYNC                                              |num                                               |SYNC                                              |                                                  |                                                  |
IF                  |SYNC                                              |                                                  |                                                  |                                                  |                                                  |SYNC                                              |SYNC                                              |if ( EXPRESSION ) { STATEMENT } else { STATEMENT }|SYNC                                              |                                                  |                                                  |                                                  |SYNC                                              |SYNC                                              |
METHOD_BODY         |SYNC                                              |                                                  |                                                  |                                                  |                                                  |STATEMENT_LIST                                    |STATEMENT_LIST                                    |STATEMENT_LIST                                    |STATEMENT_LIST                                    |                                                  |                                                  |                                                  |STATEMENT_LIST                                    |                                                  |
PRIMITIVE_TYPE      |                                                  |                                                  |                                                  |                                                  |                                                  |float                                             |SYNC                                              |                                                  |int                                               |                                                  |                                                  |                                                  |                                                  |                                                  |
SIGN                |                                                  |                                                  |                                                  |                                                  |addop                                             |                                                  |                                                  |                                                  |                                                  |                                                  |                                                  |                                                  |                                                  |                                                  |
SIMPLE_EXPRESSION   |                                                  |TERM SIMPLE_EXPRESSION0                           |SYNC                                              |SYNC                                              |addop TERM SIMPLE_EXPRESSION0                     |                                                  |TERM SIMPLE_EXPRESSION0                           |                                                  |                                                  |                                                  |TERM SIMPLE_EXPRESSION0                           |SYNC                                              |                                                  |                                                  |
SIMPLE_EXPRESSION0  |                                                  |                                                  |\L                                                |\L                                                |addop TERM SIMPLE_EXPRESSION0                     |                                                  |                                                  |                                                  |                                                  |                                                  |                                                  |\L                                                |                                                  |                                                  |
STATEMENT           |SYNC                                              |                                                  |                                                  |                                                  |                                                  |DECLARATION                                       |ASSIGNMENT                                        |IF                                                |DECLARATION                                       |                                                  |                                                  |                                                  |WHILE                                             |SYNC                                              |
STATEMENT_LIST      |SYNC                                              |                                                  |                                                  |                                                  |                                                  |DECLARATION STATEMENT_LIST0                       |ASSIGNMENT STATEMENT_LIST0                        |IF STATEMENT_LIST0                                |DECLARATION STATEMENT_LIST0                       |                                                  |                                                  |                                                  |WHILE STATEMENT_LIST0                             |                                                  |
STATEMENT_LIST0     |\L                                                |                                                  |                                                  |                                                  |                                                  |STATEMENT STATEMENT_LIST0                         |STATEMENT STATEMENT_LIST0                         |STATEMENT STATEMENT_LIST0                         |STATEMENT STATEMENT_LIST0                         |                                                  |                                                  |                                                  |STATEMENT STATEMENT_LIST0                         |                                                  |
TERM                |                                                  |( EXPRESSION ) TERM0                              |SYNC                                              |SYNC                                              |SYNC                                              |                                                  |id TERM0                                          |                                                  |                                                  |                                                  |num TERM0                                         |SYNC                                              |                                                  |                                                  |
TERM0               |                                                  |                                                  |\L                                                |\L                                                |\L                                                |                                                  |                                                  |                                                  |                                                  |mulop FACTOR TERM0                                |                                                  |\L                                                |                                                  |                                                  |
WHILE               |SYNC                                              |                                                  |                                                  |                                                  |                                                  |SYNC                                              |SYNC                                              |SYNC                                              |SYNC                                              |                                                  |                                                  |                                                  |while ( EXPRESSION ) { STATEMENT }                |SYNC                                              |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
